Title,glide gscore,RMSD
decoy,-6.89,10.151
decoy,-6.889,7.924
decoy,-6.94,8.149
decoy,-6.885,7.564
decoy,-6.882,7.557
decoy,-6.946,6.492
decoy,-6.88,7.798
decoy,-6.879,6.599
decoy,-6.874,8.782
decoy,-6.874,8.782
decoy,-6.874,8.974
decoy,-6.873,8.975
decoy,-6.877,8.672
decoy,-6.875,8.743
decoy,-6.981,7.109
decoy,-6.874,8.559
decoy,-6.937,9.668
decoy,-6.867,8.564
decoy,-6.916,6.831
decoy,-6.87,7.819
decoy,-6.865,8.268
decoy,-6.865,7.474
decoy,-7.006,6.541
decoy,-6.862,10.84
decoy,-6.865,8.927
decoy,-6.86,7.765
decoy,-6.859,8.183
decoy,-6.878,6.938
decoy,-6.856,7.698
decoy,-7.826,6.905
decoy,-6.848,10.658
decoy,-6.873,7.858
decoy,-7.028,7.442
CHEMBL4593858,-6.841,9.402
CHEMBL4593858,-6.841,9.402
decoy,-7.114,6.44
decoy,-6.839,8.035
CHEMBL4752288,-6.839,6.142
decoy,-8.713,7.49
decoy,-6.837,6.018
CHEMBL4464070,-6.835,8.846
decoy,-6.835,8.666
decoy,-6.834,8.429
decoy,-6.833,7.15
decoy,-6.835,6.825
decoy,-6.832,7.136
decoy,-6.832,10.277
decoy,-6.827,9.894
decoy,-6.827,10.242
decoy,-6.827,8.329
decoy,-6.819,8.489
decoy,-6.819,8.711
decoy,-6.818,7.389
decoy,-6.819,6.893
decoy,-6.817,8.414
decoy,-6.816,10.081
decoy,-6.815,9.957
decoy,-6.841,9.344
decoy,-6.811,5.878
decoy,-6.811,7.462
decoy,-6.81,7.39
decoy,-6.808,8.468
decoy,-6.807,7.875
decoy,-6.805,6.302
decoy,-6.805,9.057
decoy,-6.804,7.606
decoy,-6.803,9.518
decoy,-6.803,8.162
decoy,-6.862,7.937
decoy,-6.879,6.775
decoy,-6.808,8.535
decoy,-6.798,8.322
decoy,-7.035,7.885
decoy,-6.797,10.541
decoy,-6.794,7.808
decoy,-6.794,6.816
CHEMBL4756002,-6.795,6.334
decoy,-6.795,6.432
decoy,-6.793,6.657
decoy,-6.792,10.143
decoy,-6.979,10.201
decoy,-6.794,7.486
decoy,-6.789,9.467
decoy,-6.788,7.528
decoy,-6.788,7.919
CHEMBL4780061,-6.785,7.904
decoy,-6.785,6.884
decoy,-6.781,7.596
decoy,-6.781,9.067
decoy,-6.781,7.29
decoy,-6.78,6.604
decoy,-6.777,10.004
decoy,-6.808,7.072
decoy,-6.773,9.6
decoy,-6.804,7.642
decoy,-6.77,9.8
decoy,-6.798,6.314
decoy,-6.799,8.383
decoy,-6.811,12.198
decoy,-6.779,7.853
decoy,-6.764,7.889
