Title,glide gscore,RMSD
decoy,-9.382,8.567
decoy,-8.36,8.762
decoy,-8.359,9.691
decoy,-8.356,8.429
decoy,-8.375,10.349
decoy,-8.355,8.518
decoy,-8.687,6.589
decoy,-8.425,8.426
decoy,-8.352,6.473
decoy,-8.37,9.874
decoy,-8.529,9.781
decoy,-8.35,9.848
decoy,-8.389,8.518
decoy,-8.346,8.829
decoy,-8.346,7.936
decoy,-8.346,9.711
decoy,-8.343,8.743
decoy,-8.343,8.87
decoy,-8.341,11.05
decoy,-8.34,9.026
decoy,-8.338,10.419
decoy,-8.338,8.76
decoy,-8.336,7.235
decoy,-8.336,9.064
decoy,-8.728,8.101
MBX3135,-8.46,8.154
decoy,-8.332,9.344
decoy,-8.332,7.137
decoy,-8.331,7.809
decoy,-8.329,11.862
decoy,-9.752,9.002
decoy,-8.325,9.171
decoy,-8.324,9.392
decoy,-8.323,9.43
decoy,-8.323,7.175
decoy,-8.573,8.677
decoy,-8.317,9.078
decoy,-8.317,8.982
decoy,-8.317,7.131
decoy,-8.313,8.025
decoy,-8.366,7.019
decoy,-8.31,5.824
decoy,-8.307,7.328
decoy,-8.309,6.728
decoy,-8.311,6.823
decoy,-8.332,8.116
MBX3135_5ENR,-8.302,7.744
decoy,-8.3,9.849
decoy,-8.3,5.502
decoy,-8.314,7.569
decoy,-8.293,11.419
decoy,-8.293,7.17
decoy,-8.292,9.103
decoy,-8.318,8.924
decoy,-8.284,8.177
decoy,-8.283,9.851
decoy,-8.28,10.24
decoy,-8.279,10.802
decoy,-8.276,7.504
decoy,-8.293,5.994
decoy,-8.279,8.838
decoy,-8.273,8.037
CHEMBL4755756,-8.272,9.104
decoy,-8.394,5.931
decoy,-8.345,7.781
decoy,-8.27,7.381
decoy,-8.269,7.14
decoy,-8.269,8.404
decoy,-8.267,10.065
decoy,-8.265,6.561
decoy,-8.289,8.138
decoy,-8.579,9.728
decoy,-8.296,6.903
CHEMBL4739934,-8.262,8.75
decoy,-9.835,9.991
decoy,-9.244,9.421
decoy,-8.26,9.024
decoy,-8.679,10.006
decoy,-8.257,7.189
decoy,-8.256,8.904
decoy,-8.253,7.375
decoy,-8.252,9.585
decoy,-8.822,7.364
decoy,-8.282,7.837
decoy,-8.658,10.229
decoy,-8.259,6.92
decoy,-8.246,8.217
