Title,glide gscore,RMSD
decoy,-9.415,7.122
decoy,-9.45,7.394
decoy,-9.51,7.471
decoy,-10.283,7.83
decoy,-9.401,7.318
decoy,-9.409,8.038
decoy,-11.229,8.111
decoy,-9.394,7.992
decoy,-9.392,6.252
decoy,-9.388,6.923
decoy,-9.386,8.852
decoy,-9.384,7.665
decoy,-9.383,4.894
decoy,-9.379,8.027
decoy,-11.278,8.449
decoy,-9.374,6.766
decoy,-9.372,9.224
decoy,-9.369,7.451
decoy,-10.076,7.881
decoy,-9.368,8.368
decoy,-9.365,8.446
decoy,-9.369,7.9
decoy,-9.362,8.222
decoy,-9.359,7.025
decoy,-9.485,8.788
decoy,-9.358,6.57
decoy,-9.358,9.194
decoy,-9.357,9.284
decoy,-9.356,6.716
decoy,-10.662,8.162
decoy,-10.193,7.914
decoy,-9.349,8.404
decoy,-9.349,8.308
decoy,-9.349,7.778
decoy,-9.348,7.366
decoy,-9.636,8.296
decoy,-9.355,7.47
decoy,-9.377,7.314
decoy,-9.342,7.548
decoy,-9.341,6.407
decoy,-9.478,7.428
decoy,-9.334,6.804
decoy,-9.331,8.837
decoy,-10.105,9.137
decoy,-9.874,8.839
decoy,-9.325,7.566
decoy,-9.326,7.724
decoy,-9.33,6.516
decoy,-9.315,7.84
decoy,-9.314,7.399
decoy,-9.313,7.103
decoy,-10.469,8.321
decoy,-9.307,8.166
decoy,-9.306,7.051
decoy,-9.306,8.759
decoy,-9.305,6.33
decoy,-9.298,6.893
decoy,-9.298,7.644
decoy,-9.298,7.636
decoy,-10.998,6.555
CHEMBL4749928,-9.296,8.554
decoy,-9.294,6.404
decoy,-9.312,6.855
decoy,-9.299,6.625
decoy,-9.286,8.096
decoy,-9.288,6.475
decoy,-9.285,6.925
decoy,-9.294,9.742
decoy,-9.695,7.365
decoy,-9.342,7.686
decoy,-11.133,8.627
decoy,-9.396,7.997
decoy,-9.277,7.04
decoy,-9.275,8.236
decoy,-9.686,8.954
decoy,-9.455,7.439
decoy,-9.269,8.041
decoy,-9.268,7.614
decoy,-9.273,8.196
decoy,-9.267,6.633
decoy,-9.258,8.616
decoy,-9.258,5.451
decoy,-9.256,9.241
CHEMBL4528570,-9.253,7.631
decoy,-9.253,7.824
decoy,-9.253,7.289
decoy,-9.252,8.841
decoy,-9.248,8.859
decoy,-9.248,8.229
decoy,-9.271,6.646
decoy,-9.251,6.475
decoy,-9.273,7.967
decoy,-9.46,7.217
decoy,-9.315,6.823
decoy,-9.242,8.68
decoy,-9.242,7.155
decoy,-9.243,6.516
decoy,-9.241,6.68
decoy,-9.973,6.434
decoy,-9.235,9.129
decoy,-9.234,6.916
decoy,-9.233,7.103
decoy,-9.235,5.644
decoy,-9.303,7.3
decoy,-9.245,8.371
decoy,-10.342,8.598
decoy,-9.222,8.436
decoy,-9.221,7.258
decoy,-9.222,8.055
decoy,-9.218,6.804
decoy,-9.692,8.997
decoy,-11.07,6.111
decoy,-9.323,6.838
decoy,-9.215,6.905
decoy,-9.214,8.069
decoy,-9.213,9.11
decoy,-9.213,7.808
decoy,-9.213,8.597
decoy,-9.213,7.941
decoy,-9.32,8.649
decoy,-9.21,7.272
decoy,-9.209,8.68
decoy,-9.207,10.042
decoy,-9.593,5.907
decoy,-9.204,8.287
decoy,-9.223,7.557
decoy,-9.2,7.811
decoy,-9.201,7.651
decoy,-9.199,8.537
decoy,-9.198,7.239
decoy,-9.197,7.015
decoy,-9.654,6.429
decoy,-9.195,7.836
decoy,-9.753,9.161
decoy,-9.19,10.408
decoy,-10.691,8.554
decoy,-9.188,8.074
decoy,-9.185,7.515
decoy,-9.183,7.249
decoy,-9.182,6.254
decoy,-9.182,6.816
decoy,-9.521,7.554
decoy,-9.18,7.844
decoy,-9.179,7.542
decoy,-9.655,7.551
decoy,-9.178,6.931
decoy,-9.175,8.567
decoy,-9.201,6.895
decoy,-9.173,7.432
decoy,-9.814,7.264
decoy,-9.352,7.317
decoy,-9.169,5.626
decoy,-9.39,7.365
decoy,-9.168,7.993
decoy,-10.153,7.57
decoy,-9.167,7.49
decoy,-9.165,7.946
decoy,-9.165,6.51
decoy,-9.164,8.15
decoy,-9.21,6.758
